# Citilinc geofenced bus stops, transcribed from the NMPML RTI reply
# (letter 3120/2026, 17 Aug 2026), annexure pages 137-166 of 198.
# The PDF is a 300 DPI scan with no text layer, so this table was read
# off the page rather than parsed. sr is the source table's own row number.
# sr|depot|city|name|lat|lon
47|Tapovan Depot|Nashik|Navrachna Vidyalay (Savarkar Nagar)|20.01603|73.75431
48|Tapovan Depot|Nashik|Narsinha Nagar Auto Stand (D)|20.01469|73.75595
49|Tapovan Depot|Nashik|Narsinha Nagar Auto Stand (U)|20.01460|73.75592
50|Tapovan Depot|Nashik|Shanti Niketan Chauk (D)|20.01730|73.76132
51|Tapovan Depot|Nashik|Shanti Niketan Chauk (U)|20.01720|73.76133
52|Tapovan Depot|Nashik|Horizon Academy (D)|20.01716|73.76618
53|Tapovan Depot|Nashik|Mai Lele School (D)|20.01238|73.76987
54|Tapovan Depot|Nashik|Chopda Lawns (D)|20.00967|73.77169
55|Tapovan Depot|Nashik|Chopda Lawns (U)|20.00961|73.77154
56|Tapovan Depot|Nashik|Horizon Academy (U)|20.01706|73.76610
57|Tapovan Depot|Nashik|Shivkesari Chauk (D)|20.01536|73.76764
58|Tapovan Depot|Nashik|Shivkesari Chauk (U)|20.01531|73.76755
59|Nashik Road Depot|Nashik|Digambar Society (Vidi Kamgar) (U)|20.00971|73.82602
60|Nashik Road Depot|Nashik|Digambar Society (Vidi Kamgar) (D)|20.00938|73.82614
61|Nashik Road Depot|Nashik|Ghughe Vasti / Jadhav Vasti (Kotam Gaon)|19.96083|73.90761
62|Tapovan Depot|Nashik|Khloya Ohal / Thube Vasti|20.09291|73.95203
63|Nashik Road Depot|Nashik|Jawahar Phata (Trimbakeshwar) (D)|19.94053|73.53380
64|Nashik Road Depot|Nashik|Jawahar Phata (Trimbakeshwar) (U)|19.94040|73.53357
65|Nashik Road Depot|Nashik|A.D.I Electric Company|19.92895|73.91555
66|Nashik Road Depot|Nashik|Jakhorigaon|19.95093|73.92158
67|Nashik Road Depot|Nashik|Kotamgaon Phata / Darana River Bridge|19.94948|73.92024
68|Nashik Road Depot|Nashik|Saptshrungi Mata Mandir Phata / Mohgaon|19.94650|73.91709
69|Nashik Road Depot|Nashik|Ghotal Wadi (Chandgiri)|19.94355|73.91793
70|Nashik Road Depot|Nashik|Katale Vasti (Chandgiri)|19.94066|73.91804
71|Nashik Road Depot|Nashik|Chandgirigaon|19.93681|73.91715
72|Nashik Road Depot|Nashik|Shelar Vasti (Chandgiri)|19.93517|73.91684
73|Nashik Road Depot|Nashik|Gurukul School|19.91797|73.90088
74|Nashik Road Depot|Nashik|Chakradhar Swami Datta Mandir (Shindegaon)|19.91791|73.89076
75|Nashik Road Depot|Nashik|Namco Cancer Hospital (D)|20.03401|73.79576
76|Nashik Road Depot|Nashik|Rashiklal Dhariwal Hospital (D)|20.03411|73.79783
77|Nashik Road Depot|Nashik|Namco Cancer Hospital (U)|20.03419|73.79572
78|Nashik Road Depot|Nashik|Rashiklal Dhariwal Hospital (U)|20.03433|73.79771
79|Nashik Road Depot|Nashik|Dindori / Matoshree Krushi|20.20952|73.82008
80|Nashik Road Depot|Nashik|Hanuman Nagar (Dindori)|20.20851|73.82431
81|Nashik Road Depot|Nashik|Nirmal Vihar Colony (Dindori)|20.20758|73.82637
82|Tapovan Depot|Nashik|Laxmi Lawns (Girnare)|20.07123|73.66734
83|Tapovan Depot|Nashik|Kadlag Mala (Govardhan)|20.02972|73.70313
84|Tapovan Depot|Nashik|Radha Krishna Chowk (Chunchale)|19.96631|73.73252
85|Tapovan Depot|Nashik|Entech Controls|19.99960|73.72295
86|Tapovan Depot|Nashik|GI Company|20.00001|73.71726
87|Tapovan Depot|Nashik|Carbon Vegetable|20.00190|73.71752
88|Tapovan Depot|Nashik|Mahindra Spicer Limited|19.99696|73.71696
89|Tapovan Depot|Nashik|Mahindra Gate No 1|19.99605|73.71949
90|Tapovan Depot|Nashik|Mico Gate No 4|19.99592|73.72095
91|Tapovan Depot|Nashik|Sharda Moters|19.99631|73.72296
92|Tapovan Depot|Nashik|VIP/ABB|20.00104|73.72884
93|Tapovan Depot|Nashik|JBM|20.00001|73.73106
94|Nashik Road Depot|Nashik|Army Public School (D)|19.88793|73.82417
95|Tapovan Depot|Nashik|Nimani Pass Center 3|20.01243|73.79674
96|Nashik Road Depot|Nashik|Hanuman Mandir (Sinnar Phata)|19.94696|73.84633
97|Tapovan Depot|Nashik|CITILINC Office (D)|19.99574|73.77673
98|Tapovan Depot|Nashik|CITILINC Office (U)|19.99635|73.77743
99|Tapovan Depot|Nashik|Police Vasahat (Dhatrak Phata)|20.04684|73.83529
100|Tapovan Depot|Nashik|Alandi Pat (Dhatrak Phata)|20.04285|73.83503
101|Tapovan Depot|Nashik|Yeshwant Nagar (Dhatrak Phata)|20.04097|73.83493
102|Tapovan Depot|Nashik|Samaj Kalyan Vastigruh Phata No 1 (Adgaon)|20.03832|73.86722
103|Tapovan Depot|Nashik|Shikshan Mandal Vibhagiy Karyalay (Adgaon)|20.04536|73.86860
104|Tapovan Depot|Nashik|Samaj Kalyan Vastigruh (Adgaon)|20.04382|73.86811
105|Tapovan Depot|Nashik|New English School (Adgaon)|20.04260|73.86767
106|Tapovan Depot|Nashik|Swapnapurti Society (Adgaon)|20.04121|73.86713
107|Tapovan Depot|Nashik|Samaj Kalyan Vastigruh Phata (Adgaon)|20.03838|73.86674
108|Tapovan Depot|Nashik|Datta Mandir (Adgaon)|20.03547|73.86289
109|Nashik Road Depot|Nashik|Borgad / Santosh Edu Phamacy College|20.06867|73.80120
110|Nashik Road Depot|Nashik|Borgad|20.05775|73.80079
111|Nashik Road Depot|Nashik|Varad Nagar|20.05990|73.80158
112|Nashik Road Depot|Nashik|Adivasi Ashram Shala (Borgad)|20.05433|73.79996
113|Tapovan Depot|Nashik|Shiv Rasta Oney / Thergaon|20.08052|73.99239
114|Tapovan Depot|Nashik|Nala (Sayyed Pimpari)|20.04450|73.93902
115|Tapovan Depot|Nashik|Tarle Construction (Sayyed Pimpari)|20.03840|73.89447
116|Tapovan Depot|Nashik|Charan Baba Matha (Sayyed Pimpari)|20.03669|73.88574
117|Tapovan Depot|Nashik|Tapovan Depot (D)|20.00754|73.81478
118|Tapovan Depot|Nashik|Jwala Mata|19.84616|74.01366
119|Nashik Road Depot|Nashik|Sanap Farm (Dhakambe)|20.08769|73.80501
120|Nashik Road Depot|Nashik|Jay Ambe Farm (Dhakambe)|20.10808|73.80734
121|Nashik Road Depot|Nashik|Hinganwedhe|19.97260|73.92531
122|Nashik Road Depot|Nashik|Saati Asara Mandir (Hinganvedhe)|19.96147|73.90856
123|Tapovan Depot|Nashik|More Nagar (Pimpalgaon)|20.17304|73.99290
124|Tapovan Depot|Nashik|Fire Brigade (Pimpalgaon)|20.16911|73.99251
125|Tapovan Depot|Nashik|Arunoday Colony|20.03577|73.83480
126|Tapovan Depot|Nashik|Deen Dayal Garden|20.02410|73.82616
127|Tapovan Depot|Nashik|Triveni Heights / Mhada|20.03718|73.83975
128|Tapovan Depot|Nashik|Deshmukh Chowk - Adgaon|20.03860|73.83490
129|Tapovan Depot|Nashik|Sudarshan Colony / Raut Mala|20.03219|73.83453
130|Tapovan Depot|Nashik|Ashapuri Colony|20.03011|73.83494
131|Tapovan Depot|Nashik|Samarth Socity / Sandip Super Market|20.02637|73.83560
132|Tapovan Depot|Nashik|KK Wagh Agri College|20.02486|73.83255
133|Tapovan Depot|Nashik|Pramod Mahajan Garden|20.02378|73.83037
134|Tapovan Depot|Nashik|Saishiv Nagar|20.02460|73.82919
135|Tapovan Depot|Nashik|Dattatreya Chowk|20.02613|73.82580
136|Tapovan Depot|Nashik|Trikoni Banglow|20.02563|73.82096
137|Tapovan Depot|Nashik|Bhargav Ram Society|20.02321|73.82099
138|Tapovan Depot|Nashik|Ayodhya Nagar|20.02133|73.82118
139|Tapovan Depot|Nashik|MIDC Mukhed Phata|20.19312|73.98447
140|Tapovan Depot|Nashik|Devicha Matha|20.18746|73.99028
141|Nashik Road Depot|Nashik|Manohar Farm / Rashegaon Phata (D)|20.13956|73.81628
142|Nashik Road Depot|Nashik|Manohar Farm / Rashegaon Phata (U)|20.13939|73.81617
143|Tapovan Depot|Nashik|Durga Nagar (K.K Wagh) (D)|20.01389|73.81844
144|Tapovan Depot|Nashik|Durga Nagar (K.K Wagh) (U)|20.01318|73.81540
145|Tapovan Depot|Nashik|Labhade Nagar Adgaon (D)|20.02859|73.85135
146|Tapovan Depot|Nashik|Labhade Nagar Adgaon (U)|20.02873|73.85092
147|Tapovan Depot|Nashik|Shelke Complex|19.88011|73.84129
148|Tapovan Depot|Nashik|Samrat Hotel|19.88042|73.84293
149|Tapovan Depot|Nashik|Sainik Society|19.88076|73.84549
150|Tapovan Depot|Nashik|Yogeshwari Nagar|19.87808|73.84471
151|Tapovan Depot|Nashik|New Panchaganga Society|19.87803|73.84180
152|Tapovan Depot|Nashik|Shah Garden|19.87804|73.84054
153|Tapovan Depot|Nashik|Ahuja Complex|19.87794|73.83835
154|Tapovan Depot|Nashik|KVN Naik College (Canada Corner) (U)|20.00433|73.77064
155|Tapovan Depot|Nashik|KVN Naik College (Canada Corner) (D)|20.00436|73.77051
156|Nashik Road Depot|Nashik|Mhasoba Mandir (Mhada)|19.97154|73.71950
157|Tapovan Depot|Nashik|Mankar Petrol Pump Makhmalabad|20.04616|73.77827
158|Tapovan Depot|Nashik|Bhakti Dham (D)|20.01328|73.79318
159|Tapovan Depot|Nashik|Jamb Ohal (Matori)|20.05191|73.76230
160|Nashik Road Depot|Nashik|Swpnapurti Nagar (old Po. Lines Vasahat Gaulane)|19.93709|73.75673
161|Nashik Road Depot|Nashik|Bhima Shankar Nagar / Royal Bekari|19.94965|73.75589
162|Tapovan Depot|Nashik|Gangotri Farm House (Dugaon)|20.06565|73.69269
163|Tapovan Depot|Nashik|Dambale Wadi (Dugaon)|20.06112|73.70197
164|Tapovan Depot|Nashik|Khandoba Tekdi (Dugaon)|20.05545|73.71309
165|Tapovan Depot|Nashik|Yashwant Nagar (Mungasara)|20.05241|73.71891
166|Tapovan Depot|Nashik|Surya Academy|20.05387|73.73762
167|Tapovan Depot|Nashik|Eregation Colony Makhmalabad|20.04600|73.78230
168|Tapovan Depot|Nashik|Vise Mala (Makhmalabad Link Road)|20.04626|73.78785
169|Tapovan Depot|Nashik|Rau Hotel Peth Road (Maruti Mandir) (U)|20.04625|73.79197
170|Tapovan Depot|Nashik|Bhakti Dham (U)|20.01331|73.79302
171|Nashik Road Depot|Nashik|Bhim Nagar / Central Jail (D)|19.96733|73.83960
172|Nashik Road Depot|Nashik|Bhim Nagar / Central Jail (U)|19.96715|73.83972
173|Tapovan Depot|Nashik|Satpur Pass Center 1|19.99506|73.77644
174|Tapovan Depot|Nashik|KTHM Pass Center 2|20.00755|73.77678
175|Tapovan Depot|Nashik|KTHM Pass Center 1|20.00757|73.77678
176|Tapovan Depot|Nashik|Nimani Pass Center 1|19.99507|73.77643
177|Tapovan Depot|Nashik|Nimani Pass Center 2|19.99508|73.77643
178|Tapovan Depot|Nashik|Bhairavnath Mandir / ZP School Chandori|20.02814|73.98791
179|Tapovan Depot|Nashik|Dudh Dairy / Tarle Vasti Chandori|20.03201|73.98590
180|Tapovan Depot|Nashik|Raundal Vasti / Butti Chinch|20.03714|73.98036
181|Tapovan Depot|Nashik|Khervadi Datta Mandir|20.04163|73.97505
182|Tapovan Depot|Nashik|Vanvihar Colony|20.00296|73.75263
183|Tapovan Depot|Nashik|Bhaji Market (D)|20.00250|73.71501
184|Tapovan Depot|Nashik|Bhaji Market (U)|20.00273|73.71503
185|Tapovan Depot|Nashik|Dynamic Company (Carbon)|20.00552|73.71531
186|Tapovan Depot|Nashik|Dharmaji Colany (Satpur) (D)|20.00631|73.71748
187|Tapovan Depot|Nashik|Dharmaji Colany (Satpur) (U)|20.00622|73.71750
188|Tapovan Depot|Nashik|Bhawar Mala (Satpur) (D)|20.00741|73.72120
189|Tapovan Depot|Nashik|Bhawar Mala (Satpur) (U)|20.00725|73.72096
190|Tapovan Depot|Nashik|Apna Ghar (D)|20.00872|73.72393
191|Tapovan Depot|Nashik|Apna Ghar (U)|20.00863|73.72398
192|Tapovan Depot|Nashik|Sai Nakshatra Apparment (D)|20.01083|73.72600
193|Tapovan Depot|Nashik|Sai Nakshatra Apparment (U)|20.01085|73.72613
194|Tapovan Depot|Nashik|Balwant Chowk (Canal Road) (D)|20.01267|73.72619
195|Tapovan Depot|Nashik|Balwant Chowk (Canal Road) (U)|20.01264|73.72607
196|Tapovan Depot|Nashik|Tirumala Omkar (D)|20.00928|73.73051
197|Tapovan Depot|Nashik|Tirumala Omkar (U)|20.00926|73.73017
198|Tapovan Depot|Nashik|Ishwar Prestrige (Tirumala) (D)|20.00769|73.73466
199|Tapovan Depot|Nashik|Ishwar Prestrige (Tirumala) (U)|20.00771|73.73441
200|Tapovan Depot|Nashik|Wisdom School / Gangurde Chowk (D)|20.00718|73.73821
201|Tapovan Depot|Nashik|Wisdom School / Gangurde Chowk (U)|20.00711|73.73862
202|Tapovan Depot|Nashik|Canal Jogging Track (Pipe Line Road) (D)|20.00678|73.74197
203|Tapovan Depot|Nashik|Canal Jogging Track (Pipe Line Road) (U)|20.00691|73.74223
204|Tapovan Depot|Nashik|Durgamata Mandir (D)|19.97734|73.84042
205|Nashik Road Depot|Nashik|Shewanta Lawns (D)|20.00257|73.84410
206|Tapovan Depot|Nashik|Bendkule Nagar (U)|20.01650|73.73593
207|Tapovan Depot|Nashik|Mauli Lawns (U)|19.97275|73.74729
208|Tapovan Depot|Nashik|Ayodhya Colony (D)|19.97577|73.74685
209|Tapovan Depot|Nashik|Balwant Nagar / Kadlak Vasti (D)|20.01378|73.74075
210|Tapovan Depot|Nashik|Balwant Nagar / Kadlak Vasti (U)|20.01386|73.73992
211|Tapovan Depot|Nashik|Wavare Nagar (D)|19.97953|73.74719
212|Tapovan Depot|Nashik|Surbhi Colony (U)|19.98349|73.74866
213|Tapovan Depot|Nashik|Khuntwad Nagar / CITU Bhavan (D)|19.98623|73.74919
214|Tapovan Depot|Nashik|Dattir Nagar (Chunchale Gaon) (D)|19.96493|73.72834
215|Nashik Road Depot|Nashik|Samata Nagar (D) Takali Rd|19.98413|73.81767
216|Nashik Road Depot|Nashik|Indrayani Society (D)|19.97915|73.81777
217|Nashik Road Depot|Nashik|Pandurang Chowk (D)|19.94974|73.76251
218|Nashik Road Depot|Nashik|Wadhane Colony (D)|20.05219|73.80517
219|Tapovan Depot|Nashik|Iscon Cross Road|23.02634|72.50744
220|Tapovan Depot|Nashik|Abhishree Complex|23.02632|72.52320
221|Tapovan Depot|Nashik|Anandnagar|23.01279|72.51707
222|Tapovan Depot|Nashik|Prahladnagar|23.01187|72.50309
223|Tapovan Depot|Nashik|Karnavati|23.01988|72.50554
224|Tapovan Depot|Nashik|Iscon1|23.02250|72.50631
225|Nashik Road Depot|Nashik|Prabhu Business Park / Vadala|19.96821|73.80052
226|Nashik Road Depot|Nashik|Vidhate Nagar (Wadala)|19.96932|73.79826
227|Nashik Road Depot|Nashik|Khode Nagar / Vadala|19.97196|73.79738
228|Nashik Road Depot|Nashik|Wadala Gaon Chaufuli|19.97266|73.79453
229|Nashik Road Depot|Nashik|WNS (Wadala)|19.97418|73.79043
230|Tapovan Depot|Nashik|Chehedi Shiv Road / Bogda (NRD) (U)|19.94130|73.85318
231|Nashik Road Depot|Nashik|Jadhav Wasti (Pimpalgaon Khamb) (D)|19.92724|73.79143
232|Nashik Road Depot|Nashik|Mhasoba Mandir 1 (U)|19.92771|73.80692
233|Nashik Road Depot|Nashik|Bhavani Nagar 1 (D)|19.92678|73.80065
234|Nashik Road Depot|Nashik|Nashik Road|19.94870|73.84077
235|Nashik Road Depot|Nashik|Chehdi Pumping / Navmika School (U) 1|19.93613|73.85926
236|Tapovan Depot|Nashik|Chehdi Pumping / Navmika School (D)|19.93652|73.85853
237|Nashik Road Depot|Nashik|Nashik Road Tripuli|19.93944|73.84215
238|Nashik Road Depot|Nashik|Chehadi Pumping|19.93782|73.85597
239|Nashik Road Depot|Nashik|Bhagava Chowk (D)|19.93598|73.85649
240|Nashik Road Depot|Nashik|Bhagava Chowk (U)|19.93598|73.85640
241|Nashik Road Depot|Nashik|Hanuman Chowk|19.93590|73.85489
242|Nashik Road Depot|Nashik|Shri Krishna Colony|19.93610|73.85153
243|Nashik Road Depot|Nashik|Maratha Colony|19.93616|73.84992
244|Nashik Road Depot|Nashik|Kharjul Circle|19.93708|73.84819
245|Nashik Road Depot|Nashik|Kharjul Mala|19.93780|73.84560
246|Tapovan Depot|Nashik|Patil Park|19.97586|73.72236
247|Tapovan Depot|Nashik|Laxmi Mata Chowk (D)|19.98122|73.79271
248|Tapovan Depot|Nashik|Laxmi Mata Chowk (U)|19.98173|73.79233
249|Tapovan Depot|Nashik|Kalptaru Nagar No.2|19.98058|73.79903
250|Tapovan Depot|Nashik|Chaitrapalvi Society|19.98012|73.80378
251|Tapovan Depot|Nashik|Vijay Mamta (D)|19.97943|73.80662
252|Tapovan Depot|Nashik|Janta Vidyalay / Vijay Mamata|19.97941|73.80647
253|Tapovan Depot|Nashik|Mauje Sukhena|20.07474|74.01320
254|Tapovan Depot|Nashik|Chitrkut Chowk (U)|19.95384|73.77878
255|Tapovan Depot|Nashik|Sharayu Nagar|19.95383|73.78138
256|Tapovan Depot|Nashik|Vijay Mamata (D)|19.97993|73.80806
257|Tapovan Depot|Nashik|Janata Vidyalaya (D)|19.98074|73.80946
258|Tapovan Depot|Nashik|Metro Mall (D)|19.98226|73.81011
259|Tapovan Depot|Nashik|Uttara Nagar / Poddar High School (D)|19.98493|73.80991
260|Tapovan Depot|Nashik|Kathe Galli Corner (D)|19.99005|73.80892
261|Tapovan Depot|Nashik|Anusaya Nagar / Samarth Nagar (D)|19.99169|73.80903
262|Tapovan Depot|Nashik|Jay Shankar Garden Chowk (Tapovan) (D)|19.99447|73.80931
263|Tapovan Depot|Nashik|Tigrania Chowk (D)|19.99720|73.80969
264|Tapovan Depot|Nashik|Laxmi Narayan Mandir (Tapovan) (D)|20.00230|73.81205
265|Tapovan Depot|Nashik|Vijay Mamata (U)|19.97973|73.80797
266|Tapovan Depot|Nashik|Janata Vidyalaya (U)|19.98058|73.80952
267|Tapovan Depot|Nashik|Metro Mall (U)|19.98175|73.81032
268|Tapovan Depot|Nashik|Uttara Nagar / Poddar High School (U)|19.98520|73.81002
269|Tapovan Depot|Nashik|Kathe Galli Corner (U)|19.98957|73.80910
270|Tapovan Depot|Nashik|Anusaya Nagar / Samarth Nagar (U)|19.99119|73.80912
271|Tapovan Depot|Nashik|Jay Shankar Garden Chowk (Tapovan) (U)|19.99361|73.80932
272|Tapovan Depot|Nashik|Tigrania Chowk (U)|19.99726|73.80984
273|Tapovan Depot|Nashik|Laxmi Narayan Mandir (Tapovan) (U)|20.00225|73.81212
274|Tapovan Depot|Nashik|P.V.G College / Omkar Bungalow|20.03794|73.79894
275|Tapovan Depot|Nashik|Dattir Nagar (Chunchale Gaon) (U)|19.96475|73.72874
276|Nashik Road Depot|Nashik|Late. Dagu Patil Aware Chowk|19.95131|73.86434
277|Nashik Road Depot|Nashik|Sarvadnya Mala (Mhaisdhune)|20.07059|73.72221
278|Nashik Road Depot|Nashik|Jalsampada Office (Dari)|20.07732|73.72240
279|Nashik Road Depot|Nashik|Manoli Phata (Dari Gaon)|20.08951|73.71563
280|Nashik Road Depot|Nashik|Dari Gaon|20.07991|73.72161
281|Nashik Road Depot|Nashik|New Dhagur|20.09515|73.71148
282|Nashik Road Depot|Nashik|Old Dhagur|20.10547|73.70787
283|Nashik Road Depot|Nashik|Alandi Dam|20.11827|73.69905
284|Nashik Road Depot|Nashik|Gayachi Whadi (Chaufully)|20.12860|73.70445
285|Nashik Road Depot|Nashik|Dayachiwadi (Trifuly)|20.13497|73.70458
286|Nashik Road Depot|Nashik|Rawal Gaon|20.13310|73.69809
287|Nashik Road Depot|Nashik|Tilloli|20.13576|73.68466
288|Nashik Road Depot|Nashik|Tilhoali (Small)|20.13785|73.68274
289|Nashik Road Depot|Nashik|Tilholi (Big)|20.13894|73.68052
290|Nashik Road Depot|Nashik|Kanya Aasram School (Tilholi)|20.14100|73.67529
291|Nashik Road Depot|Nashik|SoanGaon Fhata (Umarale Fata)|20.14358|73.66699
292|Nashik Road Depot|Nashik|Kochar Gaon|20.14381|73.65974
293|Nashik Road Depot|Nashik|Pul (OM Dery Pharm)|20.06285|73.72146
294|Nashik Road Depot|Nashik|Pragati Nagar (Boargad)|20.05568|73.79431
295|Nashik Road Depot|Nashik|Aadarsh Nagar Borgad|20.05548|73.79726
296|Tapovan Depot|Nashik|Khanderao Mandir (Mukne Gaon)|19.80769|73.65516
297|Tapovan Depot|Nashik|Raymond Company (Gonde) (D)|19.81931|73.66974
298|Tapovan Depot|Nashik|Raymond Company (Gonde) (U)|19.81924|73.67005
299|Tapovan Depot|Nashik|Gonde Fhata (D)|19.82979|73.67503
300|Tapovan Depot|Nashik|Shiv Mandir (Mukne Gaon)|19.80320|73.66634
301|Tapovan Depot|Nashik|Trimurti Nagar Bhagur|19.87381|73.83808
302|Tapovan Depot|Nashik|Pandhurli Gaon|19.82930|73.85526
303|Tapovan Depot|Nashik|Pandhurli Highway Chowfully|19.83209|73.85541
304|Tapovan Depot|Nashik|Bhor Mala (Vinchur Dalvi)|19.83913|73.85514
305|Tapovan Depot|Nashik|Canal Road Bhor Mala|19.84406|73.85465
306|Tapovan Depot|Nashik|Vinchur Dalvi|19.85299|73.85317
307|Tapovan Depot|Nashik|Rice Mill Vinchur Dalvi|19.85360|73.84899
308|Tapovan Depot|Nashik|Rahuri Phata|19.86491|73.83707
309|Tapovan Depot|Nashik|Matushri Nursery Rahuri|19.85930|73.84274
310|Tapovan Depot|Nashik|Vijay Nagar / Petrol Pump (Bhagur)|19.87878|73.83775
311|Tapovan Depot|Nashik|Mukne Gaon|19.81091|73.65344
312|Tapovan Depot|Nashik|Padli Phata / Mukane Fata|19.80265|73.67087
313|Tapovan Depot|Nashik|Takali Gaonthan (D)|20.00656|73.96471
314|Tapovan Depot|Nashik|Takali Gaonthan (U)|20.00665|73.96419
315|Tapovan Depot|Nashik|TS Digole Petrol Pump (Sinnar) (U)|19.86806|73.95861
316|Tapovan Depot|Nashik|New CBS / Civil Hospital (U)|19.99613|73.77811
317|Tapovan Depot|Nashik|M.V.P College (Trimbakeshwar) (D)|19.93953|73.53294
318|Tapovan Depot|Nashik|M.V.P College (Trimbakeshwar) (U)|19.93929|73.53300
319|Tapovan Depot|Nashik|Shree Swami Samarth Gurupeeth (D)|19.94208|73.54369
320|Tapovan Depot|Nashik|Shree Swami Samarth Gurupeeth (U)|19.94190|73.54363
321|Tapovan Depot|Nashik|Fule Nagar (Palse) (D)|19.93106|73.86528
322|Tapovan Depot|Nashik|Fule Nagar (Palse) (U)|19.93098|73.86595
323|Tapovan Depot|Nashik|Udyog Bhavan (Sinnar) (D)|19.85692|73.97887
324|Tapovan Depot|Nashik|Udyog Bhavan (Sinnar) (U)|19.85694|73.97903
325|Tapovan Depot|Nashik|ST Colony (Sinnar) (D)|19.85484|73.98118
326|Tapovan Depot|Nashik|ST Colony (Sinnar) (U)|19.85481|73.98141
327|Tapovan Depot|Nashik|K T H M College (D)|20.00614|73.77654
328|Tapovan Depot|Nashik|SamSonight (D)|19.83384|73.67581
329|Tapovan Depot|Nashik|SamSonight (U)|19.83352|73.67616
330|Tapovan Depot|Nashik|VIR Company|19.82825|73.68658
331|Tapovan Depot|Nashik|Bhavani Mata Mandir|19.82855|73.68813
332|Tapovan Depot|Nashik|Siddhivinayak Jr College|19.82815|73.68584
333|Tapovan Depot|Nashik|Maruti Mandir (Gonde)|19.82799|73.68265
